beta :[ 0.05227214 -0.04152228  0.0462198 ] and der [-0.00972028  0.00772332 -0.00851238]
beta :[ 0.06199242 -0.04924561  0.05473218] and der [-0.00948955  0.00754061 -0.00828275]
beta :[ 0.07148197 -0.05678622  0.06301493] and der [-0.00926452  0.00736238 -0.00805892]
beta :[ 0.08074649 -0.0641486   0.07107385] and der [-0.00904505  0.00718852 -0.00784074]
beta :[ 0.08979154 -0.07133712  0.0789146 ] and der [-0.008831    0.00701893 -0.00762808]
beta :[ 0.09862253 -0.07835605  0.08654267] and der [-0.00862223  0.00685349 -0.00742078]
beta :[ 0.10724476 -0.08520954  0.09396345] and der [-0.00841861  0.0066921  -0.00721873]
beta :[ 0.11566337 -0.09190164  0.10118218] and der [-0.00822002  0.00653467 -0.00702178]
beta :[ 0.12388339 -0.09843631  0.10820396] and der [-0.00802633  0.00638109 -0.00682981]
beta :[ 0.13190971 -0.1048174   0.11503377] and der [-0.00783741  0.00623127 -0.0066427 ]
beta :[ 0.13974713 -0.11104868  0.12167647] and der [-0.00765316  0.00608512 -0.00646033]
beta :[ 0.14740029 -0.1171338   0.12813681] and der [-0.00747346  0.00594255 -0.00628258]
beta :[ 0.15487375 -0.12307635  0.13441938] and der [-0.00729818  0.00580346 -0.00610932]
beta :[ 0.16217193 -0.1288798   0.14052871] and der [-0.00712722  0.00566777 -0.00594046]
beta :[ 0.16929915 -0.13454757  0.14646917] and der [-0.00696048  0.0055354  -0.00577588]
beta :[ 0.17625963 -0.14008297  0.15224505] and der [-0.00679785  0.00540626 -0.00561547]
beta :[ 0.18305749 -0.14548922  0.15786052] and der [-0.00663923  0.00528027 -0.00545913]
beta :[ 0.18969672 -0.1507695   0.16331965] and der [-0.00648451  0.00515736 -0.00530676]
beta :[ 0.19618123 -0.15592686  0.16862641] and der [-0.00633361  0.00503745 -0.00515826]
beta :[ 0.20251484 -0.16096431  0.17378466] and der [-0.00618642  0.00492047 -0.00501352]
beta :[ 0.20870127 -0.16588478  0.17879819] and der [-0.00604286  0.00480634 -0.00487247]
beta :[ 0.21474413 -0.17069112  0.18367066] and der [-0.00590283  0.00469499 -0.004735  ]
beta :[ 0.22064696 -0.1753861   0.18840567] and der [-0.00576625  0.00458635 -0.00460103]
beta :[ 0.22641321 -0.17997245  0.1930067 ] and der [-0.00563303  0.00448036 -0.00447047]
beta :[ 0.23204623 -0.18445281  0.19747717] and der [-0.00550308  0.00437695 -0.00434323]
beta :[ 0.23754932 -0.18882976  0.2018204 ] and der [-0.00537634  0.00427606 -0.00421924]
beta :[ 0.24292565 -0.19310582  0.20603964] and der [-0.00525271  0.00417762 -0.0040984 ]
beta :[ 0.24817836 -0.19728343  0.21013804] and der [-0.00513212  0.00408157 -0.00398064]
beta :[ 0.25331048 -0.20136501  0.21411869] and der [-0.00501449  0.00398786 -0.00386589]
beta :[ 0.25832497 -0.20535287  0.21798458] and der [-0.00489975  0.00389642 -0.00375407]
beta :[ 0.26322472 -0.20924929  0.22173865] and der [-0.00478784  0.00380721 -0.0036451 ]
beta :[ 0.26801256 -0.2130565   0.22538375] and der [-0.00467867  0.00372016 -0.00353892]
beta :[ 0.27269123 -0.21677666  0.22892267] and der [-0.00457218  0.00363522 -0.00343545]
beta :[ 0.27726341 -0.22041188  0.23235811] and der [-0.00446831  0.00355234 -0.00333463]
beta :[ 0.28173173 -0.22396423  0.23569274] and der [-0.00436699  0.00347147 -0.00323639]
beta :[ 0.28609871 -0.2274357   0.23892913] and der [-0.00426815  0.00339256 -0.00314066]
beta :[ 0.29036687 -0.23082826  0.24206979] and der [-0.00417174  0.00331556 -0.00304739]
beta :[ 0.29453861 -0.23414382  0.24511718] and der [-0.00407769  0.00324042 -0.00295651]
beta :[ 0.2986163  -0.23738425  0.24807368] and der [-0.00398595  0.0031671  -0.00286796]
beta :[ 0.30260225 -0.24055135  0.25094164] and der [-0.00389646  0.00309555 -0.00278168]
beta :[ 0.30649871 -0.2436469   0.25372333] and der [-0.00380916  0.00302573 -0.00269763]
beta :[ 0.31030786 -0.24667263  0.25642095] and der [-0.003724    0.0029576  -0.00261573]
beta :[ 0.31403186 -0.24963023  0.25903668] and der [-0.00364092  0.00289111 -0.00253594]
beta :[ 0.31767278 -0.25252134  0.26157262] and der [-0.00355988  0.00282622 -0.0024582 ]
beta :[ 0.32123266 -0.25534756  0.26403082] and der [-0.00348082  0.00276289 -0.00238247]
beta :[ 0.32471348 -0.25811045  0.26641329] and der [-0.00340369  0.00270109 -0.00230869]
beta :[ 0.32811717 -0.26081154  0.26872198] and der [-0.00332846  0.00264078 -0.00223681]
beta :[ 0.33144563 -0.26345233  0.27095879] and der [-0.00325506  0.00258192 -0.00216679]
beta :[ 0.33470069 -0.26603425  0.27312558] and der [-0.00318345  0.00252447 -0.00209858]
beta :[ 0.33788414 -0.26855872  0.27522416] and der [-0.0031136   0.00246841 -0.00203213]
beta :[ 0.34099774 -0.27102713  0.2772563 ] and der [-0.00304545  0.00241369 -0.00196741]
beta :[ 0.34404319 -0.27344082  0.27922371] and der [-0.00297896  0.00236028 -0.00190436]
beta :[ 0.34702215 -0.27580109  0.28112806] and der [-0.0029141   0.00230815 -0.00184294]
beta :[ 0.34993625 -0.27810924  0.28297101] and der [-0.00285082  0.00225727 -0.00178312]
beta :[ 0.35278707 -0.28036651  0.28475413] and der [-0.00278908  0.00220761 -0.00172486]
beta :[ 0.35557615 -0.28257412  0.28647899] and der [-0.00272885  0.00215913 -0.00166811]
