beta :[ 1.26370601  0.27568624  0.06789154] and der [-0.00284617 -0.0024287   0.0004664 ]
beta :[ 1.26655218  0.27811494  0.06742514] and der [-0.00248333 -0.00266818  0.00080464]
beta :[ 1.26903551  0.28078313  0.0666205 ] and der [-0.0027741  -0.00239494  0.00047469]
beta :[ 1.27180961  0.28317807  0.06614581] and der [-0.00245113 -0.002604    0.00077278]
beta :[ 1.27426074  0.28578206  0.06537303] and der [-0.0027054  -0.00236028  0.00048078]
beta :[ 1.27696614  0.28814235  0.06489225] and der [-0.00241769 -0.00254251  0.00074343]
beta :[ 1.27938383  0.29068486  0.06414882] and der [-0.00263978 -0.00232492  0.00048497]
beta :[ 1.28202361  0.29300978  0.06366384] and der [-0.00238326 -0.00248351  0.00071634]
beta :[ 1.28440688  0.29549329  0.06294751] and der [-0.00257698 -0.00228903  0.00048751]
beta :[ 1.28698385  0.29778233  0.06246   ] and der [-0.00234805 -0.00242679  0.00069125]
beta :[ 1.2893319   0.30020912  0.06176875] and der [-0.00251675 -0.00225277  0.0004886 ]
beta :[ 1.29184865  0.30246189  0.06128016] and der [-0.00231223 -0.00237218  0.00066796]
beta :[ 1.29416088  0.30483406  0.0606122 ] and der [-0.0024589  -0.00221627  0.00048843]
beta :[ 1.29661978  0.30705033  0.06012377] and der [-0.00227598 -0.00231951  0.00064628]
beta :[ 1.29889576  0.30936984  0.05947749] and der [-0.00240322 -0.00217963  0.00048718]
beta :[ 1.30129899  0.31154947  0.05899031] and der [-0.00223944 -0.00226864  0.00062603]
beta :[ 1.30353842  0.31381812  0.05836428] and der [-0.00234957 -0.00214298  0.000485  ]
beta :[ 1.30588799  0.31596109  0.05787928] and der [-0.00220272 -0.00221946  0.00060709]
beta :[ 1.30809071  0.31818055  0.05727219] and der [-0.00229779 -0.00210637  0.00048201]
beta :[ 1.31038849  0.32028692  0.05679018] and der [-0.00216593 -0.00217183  0.00058931]
beta :[ 1.31255442  0.32245876  0.05620087] and der [-0.00224774 -0.00206991  0.00047833]
beta :[ 1.31480216  0.32452867  0.05572254] and der [-0.00212916 -0.00212568  0.00057257]
beta :[ 1.31693132  0.32665434  0.05514997] and der [-0.0021993  -0.00203364  0.00047406]
beta :[ 1.31913062  0.32868798  0.05467591] and der [-0.0020925  -0.00208089  0.00055678]
beta :[ 1.32122313  0.33076887  0.05411913] and der [-0.00215238 -0.00199763  0.00046929]
beta :[ 1.3233755   0.3327665   0.05364985] and der [-0.00205602 -0.00203739  0.00054185]
beta :[ 1.32543152  0.33480389  0.053108  ] and der [-0.00210687 -0.00196192  0.00046409]
beta :[ 1.32753839  0.33676581  0.0526439 ] and der [-0.00201976 -0.00199511  0.00052769]
beta :[ 1.32955815  0.33876092  0.05211622] and der [-0.00206269 -0.00192655  0.00045854]
beta :[ 1.33162084  0.34068747  0.05165767] and der [-0.00198379 -0.00195397  0.00051423]
beta :[ 1.33360463  0.34264144  0.05114344] and der [-0.00201975 -0.00189156  0.0004527 ]
beta :[ 1.33562439  0.344533    0.05069075] and der [-0.00194815 -0.00191392  0.00050141]
beta :[ 1.33757254  0.34644692  0.05018933] and der [-0.001978   -0.00185697  0.00044661]
beta :[ 1.33955054  0.34830389  0.04974272] and der [-0.00191287 -0.00187491  0.00048918]
beta :[ 1.34146341  0.35017879  0.04925355] and der [-0.00193736 -0.00182281  0.00044033]
beta :[ 1.34340077  0.35200161  0.04881322] and der [-0.00187799 -0.00183687  0.00047747]
beta :[ 1.34527876  0.35383848  0.04833575] and der [-0.00189778 -0.0017891   0.00043389]
beta :[ 1.34717654  0.35562758  0.04790186] and der [-0.00184353 -0.00179977  0.00046625]
beta :[ 1.34902007  0.35742735  0.04743561] and der [-0.0018592  -0.00175586  0.00042733]
beta :[ 1.35087927  0.35918321  0.04700827] and der [-0.00180951 -0.00176357  0.00045548]
beta :[ 1.35268878  0.36094679  0.04655279] and der [-0.00182159 -0.0017231   0.00042069]
beta :[ 1.35451037  0.36266988  0.0461321 ] and der [-0.00177595 -0.00172823  0.00044512]
beta :[ 1.35628632  0.36439811  0.04568698] and der [-0.00178488 -0.00169082  0.00041398]
beta :[ 1.35807121  0.36608893  0.045273  ] and der [-0.00174287 -0.0016937   0.00043515]
beta :[ 1.35981408  0.36778263  0.04483786] and der [-0.00174906 -0.00165904  0.00040723]
beta :[ 1.36156314  0.36944167  0.04443063] and der [-0.00171028 -0.00165997  0.00042552]
beta :[ 1.36327341  0.37110164  0.04400511] and der [-0.00171407 -0.00162776  0.00040046]
beta :[ 1.36498749  0.3727294   0.04360464] and der [-0.00167817 -0.001627    0.00041622]
beta :[ 1.36666566  0.3743564   0.04318843] and der [-0.00167989 -0.00159698  0.0003937 ]
beta :[ 1.36834555  0.37595338  0.04279473] and der [-0.00164657 -0.00159476  0.00040722]
beta :[ 1.36999213  0.37754814  0.04238751] and der [-0.00164649 -0.00156672  0.00038695]
beta :[ 1.37163862  0.37911486  0.04200056] and der [-0.00161548 -0.00156323  0.00039851]
beta :[ 1.37325409  0.38067809  0.04160205] and der [-0.00161383 -0.00153696  0.00038023]
beta :[ 1.37486793  0.38221505  0.04122183] and der [-0.00158489 -0.00153239  0.00039006]
beta :[ 1.37645282  0.38374744  0.04083177] and der [-0.0015819  -0.00150771  0.00037354]
beta :[ 1.37803472  0.38525514  0.04045822] and der [-0.00155481 -0.00150221  0.00038186]
beta :[ 1.37958953  0.38675735  0.04007636] and der [-0.00155066 -0.00147896  0.00036691]
beta :[ 1.38114019  0.38823631  0.03970945] and der [-0.00152524 -0.00147267  0.00037389]
beta :[ 1.38266543  0.38970897  0.03933556] and der [-0.0015201  -0.00145072  0.00036033]
beta :[ 1.38418553  0.39115969  0.03897523] and der [-0.00149618 -0.00144375  0.00036615]
beta :[ 1.38568171  0.39260344  0.03860908] and der [-0.00149019 -0.00142297  0.00035382]
beta :[ 1.3871719   0.39402641  0.03825525] and der [-0.00146763 -0.00141544  0.00035861]
beta :[ 1.38863953  0.39544185  0.03789664] and der [-0.00146091 -0.00139572  0.00034739]
beta :[ 1.39010044  0.39683757  0.03754926] and der [-0.00143958 -0.00138772  0.00035127]
beta :[ 1.39154001  0.39822528  0.03719798] and der [-0.00143224 -0.00136896  0.00034102]
beta :[ 1.39297226  0.39959424  0.03685696] and der [-0.00141203 -0.00136056  0.00034412]
beta :[ 1.39438428  0.40095481  0.03651284] and der [-0.00140418 -0.00134269  0.00033474]
beta :[ 1.39578846  0.4022975   0.0361781 ] and der [-0.00138497 -0.00133397  0.00033715]
beta :[ 1.39717343  0.40363147  0.03584095] and der [-0.00137669 -0.0013169   0.00032854]
beta :[ 1.39855012  0.40494836  0.0355124 ] and der [-0.0013584  -0.00130792  0.00033035]
beta :[ 1.39990852  0.40625628  0.03518205] and der [-0.00134977 -0.00129158  0.00032243]
beta :[ 1.4012583   0.40754786  0.03485963] and der [-0.00133231 -0.0012824   0.00032371]
beta :[ 1.40259061  0.40883026  0.03453591] and der [-0.00132341 -0.00126672  0.00031641]
beta :[ 1.40391401  0.41009698  0.03421951] and der [-0.0013067  -0.00125739  0.00031723]
beta :[ 1.40522072  0.41135437  0.03390228] and der [-0.00129757 -0.00124233  0.00031047]
beta :[ 1.40651829  0.41259671  0.03359181] and der [-0.00128157 -0.00123289  0.0003109 ]
beta :[ 1.40779986  0.41382959  0.03328091] and der [-0.00127226 -0.0012184   0.00030463]
beta :[ 1.40907213  0.41504799  0.03297628] and der [-0.0012569  -0.00120888  0.00030471]
beta :[ 1.41032903  0.41625687  0.03267156] and der [-0.00124746 -0.00119491  0.00029888]
beta :[ 1.41157649  0.41745178  0.03237268] and der [-0.00123269 -0.00118534  0.00029866]
beta :[ 1.41280918  0.41863713  0.03207402] and der [-0.00122316 -0.00117187  0.00029323]
beta :[ 1.41403234  0.41980899  0.03178079] and der [-0.00120893 -0.00116228  0.00029275]
beta :[ 1.41524128  0.42097127  0.03148804] and der [-0.00119935 -0.00114925  0.00028767]
beta :[ 1.41644062  0.42212053  0.03120037] and der [-0.00118562 -0.00113968  0.00028697]
beta :[ 1.41762625  0.4232602   0.03091341] and der [-0.00117601 -0.00112707  0.0002822 ]
beta :[ 1.41880225  0.42438727  0.0306312 ] and der [-0.00116275 -0.00111752  0.00028131]
beta :[ 1.419965    0.42550479  0.0303499 ] and der [-0.00115313 -0.00110531  0.00027683]
beta :[ 1.42111814  0.4266101   0.03007307] and der [-0.00114031 -0.0010958   0.00027577]
beta :[ 1.42225844  0.4277059   0.0297973 ] and der [-0.00113071 -0.00108395  0.00027155]
beta :[ 1.42338915  0.42878985  0.02952576] and der [-0.00111829 -0.00107451  0.00027035]
beta :[ 1.42450744  0.42986437  0.02925541] and der [-0.00110873 -0.00106301  0.00026636]
beta :[ 1.42561618  0.43092738  0.02898905] and der [-0.00109669 -0.00105364  0.00026504]
beta :[ 1.42671287  0.43198102  0.02872401] and der [-0.00108719 -0.00104246  0.00026126]
beta :[ 1.42780006  0.43302348  0.02846275] and der [-0.0010755  -0.00103318  0.00025985]
beta :[ 1.42887556  0.43405666  0.0282029 ] and der [-0.00106607 -0.00102231  0.00025626]
beta :[ 1.42994163  0.43507897  0.02794665] and der [-0.00105472 -0.00101312  0.00025476]
beta :[ 1.43099635  0.4360921   0.02769189] and der [-0.00104537 -0.00100254  0.00025134]
beta :[ 1.43204172  0.43709464  0.02744055] and der [-0.00103433 -0.00099346  0.00024977]
beta :[ 1.43307605  0.4380881   0.02719077] and der [-0.00102507 -0.00098315  0.00024652]
beta :[ 1.43410112  0.43907125  0.02694425] and der [-0.00101433 -0.00097418  0.00024489]
beta :[ 1.43511545  0.44004543  0.02669936] and der [-0.00100517 -0.00096414  0.00024178]
beta :[ 1.43612063  0.44100957  0.02645758] and der [-0.00099472 -0.00095528  0.00024011]
beta :[ 1.43711534  0.44196485  0.02621747] and der [-0.00098566 -0.00094548  0.00023713]
beta :[ 1.43810101  0.44291033  0.02598034] and der [-0.00097548 -0.00093674  0.00023543]
beta :[ 1.43907648  0.44384708  0.02574491] and der [-0.00096654 -0.00092719  0.00023257]
beta :[ 1.44004302  0.44477427  0.02551234] and der [-0.00095661 -0.00091857  0.00023084]
beta :[ 1.44099963  0.44569284  0.0252815 ] and der [-0.00094779 -0.00090925  0.00022809]
beta :[ 1.44194741  0.44660209  0.02505341] and der [-0.0009381  -0.00090076  0.00022634]
beta :[ 1.44288551  0.44750285  0.02482707] and der [-0.0009294  -0.00089165  0.00022369]
beta :[ 1.44381491  0.4483945   0.02460338] and der [-0.00091995 -0.00088329  0.00022193]
beta :[ 1.44473486  0.44927778  0.02438145] and der [-0.00091137 -0.00087439  0.00021938]
beta :[ 1.44564623  0.45015218  0.02416206] and der [-0.00090214 -0.00086616  0.00021761]
beta :[ 1.44654837  0.45101834  0.02394445] and der [-0.0008937  -0.00085746  0.00021515]
beta :[ 1.44744207  0.4518758   0.0237293 ] and der [-0.00088468 -0.00084937  0.00021338]
beta :[ 1.44832675  0.45272517  0.02351592] and der [-0.00087637 -0.00084086  0.000211  ]
beta :[ 1.44920312  0.45356603  0.02330493] and der [-0.00086756 -0.0008329   0.00020923]
beta :[ 1.45007067  0.45439893  0.0230957 ] and der [-0.00085937 -0.00082458  0.00020692]
beta :[ 1.45093004  0.45522352  0.02288877] and der [-0.00085076 -0.00081675  0.00020516]
beta :[ 1.45178081  0.45604027  0.02268361] and der [-0.00084271 -0.00080862  0.00020293]
beta :[ 1.45262352  0.45684889  0.02248068] and der [-0.00083429 -0.00080092  0.00020118]
beta :[ 1.45345781  0.45764981  0.0222795 ] and der [-0.00082637 -0.00079296  0.00019901]
beta :[ 1.45428418  0.45844277  0.0220805 ] and der [-0.00081814 -0.00078539  0.00019727]
beta :[ 1.45510232  0.45922816  0.02188323] and der [-0.00081035 -0.00077761  0.00019516]
beta :[ 1.45591267  0.46000577  0.02168807] and der [-0.0008023  -0.00077017  0.00019344]
beta :[ 1.45671497  0.46077594  0.02149463] and der [-0.00079465 -0.00076255  0.00019139]
beta :[ 1.45750961  0.46153849  0.02130324] and der [-0.00078676 -0.00075524  0.00018968]
beta :[ 1.45829637  0.46229373  0.02111356] and der [-0.00077924 -0.00074778  0.00018769]
beta :[ 1.45907561  0.46304151  0.02092587] and der [-0.00077152 -0.00074061  0.000186  ]
beta :[ 1.45984714  0.46378211  0.02073987] and der [-0.00076414 -0.0007333   0.00018406]
beta :[ 1.46061128  0.46451541  0.02055581] and der [-0.00075658 -0.00072625  0.00018239]
beta :[ 1.46136786  0.46524166  0.02037342] and der [-0.00074933 -0.0007191   0.0001805 ]
beta :[ 1.46211719  0.46596076  0.02019292] and der [-0.00074193 -0.00071218  0.00017885]
beta :[ 1.46285912  0.46667293  0.02001407] and der [-0.00073481 -0.00070517  0.00017701]
beta :[ 1.46359392  0.4673781   0.01983707] and der [-0.00072756 -0.00069838  0.00017538]
beta :[ 1.46432148  0.46807648  0.01966169] and der [-0.00072056 -0.00069151  0.00017358]
beta :[ 1.46504205  0.46876799  0.0194881 ] and der [-0.00071347 -0.00068484  0.00017198]
beta :[ 1.46575552  0.46945283  0.01931613] and der [-0.0007066  -0.00067811  0.00017022]
beta :[ 1.46646212  0.47013094  0.0191459 ] and der [-0.00069965 -0.00067157  0.00016864]
beta :[ 1.46716177  0.47080251  0.01897726] and der [-0.00069291 -0.00066498  0.00016693]
beta :[ 1.46785468  0.47146749  0.01881033] and der [-0.0006861  -0.00065856  0.00016537]
beta :[ 1.46854077  0.47212605  0.01864496] and der [-0.00067948 -0.0006521   0.0001637 ]
beta :[ 1.46922025  0.47277815  0.01848126] and der [-0.00067281 -0.0006458   0.00016216]
beta :[ 1.46989306  0.47342394  0.0183191 ] and der [-0.00066631 -0.00063947  0.00016053]
beta :[ 1.47055937  0.47406341  0.01815857] and der [-0.00065978 -0.00063328  0.00015902]
beta :[ 1.47121915  0.47469669  0.01799955] and der [-0.0006534  -0.00062708  0.00015742]
beta :[ 1.47187255  0.47532377  0.01784212] and der [-0.000647   -0.00062101  0.00015594]
beta :[ 1.47251955  0.47594478  0.01768619] and der [-0.00064074 -0.00061493  0.00015438]
beta :[ 1.47316029  0.47655971  0.01753181] and der [-0.00063446 -0.00060898  0.00015291]
beta :[ 1.47379475  0.47716869  0.0173789 ] and der [-0.00062832 -0.00060302  0.00015139]
beta :[ 1.47442307  0.47777171  0.01722751] and der [-0.00062217 -0.00059718  0.00014995]
beta :[ 1.47504525  0.47836889  0.01707756] and der [-0.00061615 -0.00059134  0.00014846]
beta :[ 1.4756614   0.47896023  0.01692911] and der [-0.00061012 -0.00058561  0.00014704]
beta :[ 1.47627152  0.47954583  0.01678207] and der [-0.00060421 -0.00057988  0.00014558]
beta :[ 1.47687573  0.48012572  0.01663649] and der [-0.0005983  -0.00057426  0.00014419]
beta :[ 1.47747403  0.48069998  0.0164923 ] and der [-0.0005925  -0.00056865  0.00014276]
beta :[ 1.47806653  0.48126863  0.01634953] and der [-0.00058671 -0.00056313  0.0001414 ]
beta :[ 1.47865324  0.48183176  0.01620814] and der [-0.00058102 -0.00055763  0.00014   ]
beta :[ 1.47923426  0.48238939  0.01606814] and der [-0.00057535 -0.00055222  0.00013866]
beta :[ 1.47980961  0.48294162  0.01592948] and der [-0.00056976 -0.00054683  0.00013729]
beta :[ 1.48037937  0.48348845  0.0157922 ] and der [-0.0005642  -0.00054152  0.00013597]
beta :[ 1.48094357  0.48402997  0.01565623] and der [-0.00055872 -0.00053624  0.00013463]
beta :[ 1.4815023   0.48456621  0.0155216 ] and der [-0.00055327 -0.00053103  0.00013333]
beta :[ 1.48205557  0.48509724  0.01538827] and der [-0.0005479  -0.00052585  0.00013202]
beta :[ 1.48260347  0.48562309  0.01525625] and der [-0.00054255 -0.00052074  0.00013075]
0.78,300,1.48314601804,0.486143826478,0.0151255011987
